Ranking,Track,Artista,Album,Fecha_Release,Popularidad,Duracion_Milisegundos
1,I Remember Everything (feat. Kacey Musgraves),Zach Bryan,Zach Bryan,8/25/2023,89,227195
2,Fast Car,Luke Combs,Gettin' Old,3/24/2023,84,265493
3,World on Fire,Nate Smith,NATE SMITH (DELUXE),4/28/2023,76,189986
4,Last Night,Morgan Wallen,3 Songs At A Time Sampler,3/3/2023,83,163854
5,I Can Feel It,Kane Brown,I Can Feel It,9/21/2023,68,163600
6,Memory Lane,Old Dominion,Memory Lane,10/6/2023,71,172480
7,Lipstick On A Beer Can,Cody Bradley,Lipstick On A Beer Can,3/22/2024,46,207360
8,Looking for You,Chris Young,Looking for You + All Dogs Go to Heaven,1/13/2023,62,179973
9,Mamaw's House,Thomas Rhett,Mamaw's House,9/28/2023,68,187269
10,Need A Favor,Jelly Roll,Need A Favor,6/2/2023,77,197400
11,Religiously,Bailey Zimmerman,Religiously,1/11/2023,80,179294
12,Heart For A Heart,Maya Lane,Heart For A Heart,4/18/2024,44,194914
13,The Painter,Cody Johnson,The Painter,11/3/2023,75,211413
14,Heartbroken (feat. Jessie Murph & Polo G),Diplo,Heartbroken (feat. Jessie Murph & Polo G),7/28/2023,69,204325
15,TRUCK BED,HARDY,the mockingbird & THE CROW,1/20/2023,79,167534
16,Ain’t That Some,Morgan Wallen,One Thing At A Time,3/3/2023,79,158003
17,On a Backroad,Richie Allen,On a Backroad,4/12/2024,45,204347
18,We Ride,Bryan Martin,Poets & Old Souls,3/31/2023,80,188482
19,White Horse,Chris Stapleton,White Horse,11/10/2023,76,267893
20,Closure,Kaleb Sanders,Closure,4/19/2024,50,175867
21,Different 'Round Here,Riley Green,Different 'Round Here,10/13/2023,71,176000
22,This Town's Been Too Good To Us,Dylan Scott,This Town's Been Too Good To Us,3/29/2024,71,191626
23,Nobody's Nobody,Brothers Osborne,Nobody's Nobody,9/15/2023,59,189066
24,Burn It Down,Parker McCollum,Never Enough,5/12/2023,67,233869
25,Howdy,Clayton Johnson,Howdy,12/2/2022,48,144426
26,5 Foot 9,Tyler Hubbard,5 Foot 9,1/27/2023,68,189773
27,Save Me (with Lainey Wilson),Jelly Roll,Whitsitt Chapel,6/2/2023,74,237493
